weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"Death Rate, 2011-2013","Years of life lost before age 75, per 100K pop, 2011-2013","Years of potential life lost (YPLL) before age 75, 2011-2013","% deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","# deaths due to external causes (car wrecks, homicides, suicides, etc), 2011-2013","% of deaths due to major respiratory disease, 2011-2013","# of deaths due to major respiratory disease, 2011-2013","% deaths due to infectious, parasitic diseases, 2011-2013"
[object GeneralizedGeometry],40728,GREENE,23,74.8,Greene,[object GeneralizedGeometry],13133,Greene,"1,151.80",9208,4112,5,28,5.6,31,26.8
[object GeneralizedGeometry],61944,GWINNETT,14.6,78.2,Gwinnett,[object GeneralizedGeometry],13135,Gwinnett,427.3,4689,115102,8.2,890,8.9,965,12.1
[object GeneralizedGeometry],41894,HABERSHAM,18,75.3,Habersham,[object GeneralizedGeometry],13137,Habersham,963.1,6837,8276,6.9,86,10.9,137,31.5
[object GeneralizedGeometry],52174,HALL,14,76.4,Hall,[object GeneralizedGeometry],13139,Hall,681.9,6097,32195,7.9,301,10.3,392,22.8
[object GeneralizedGeometry],22716,HANCOCK,24.5,71.6,Hancock,[object GeneralizedGeometry],13141,Hancock,989.9,10581,2686,7,19,9.6,26,29.3
[object GeneralizedGeometry],39227,HARALSON,17.4,70.8,Haralson,[object GeneralizedGeometry],13143,Haralson,"1,159.80",11149,8963,9,89,10.6,105,29.2
[object GeneralizedGeometry],68816,HARRIS,17.3,75.2,Harris,[object GeneralizedGeometry],13145,Harris,723.2,6079,5613,8.1,57,9.5,67,13.3
[object GeneralizedGeometry],35647,HART,21.1,73.7,Hart,[object GeneralizedGeometry],13147,Hart,"1,140.70",8035,5632,5.5,48,10.8,94,24.9
[object GeneralizedGeometry],39947,HEARD,18.9,72.7,Heard,[object GeneralizedGeometry],13149,Heard,"1,036.20",10156,3358,9.1,33,12.4,45,25.8
[object GeneralizedGeometry],62377,HENRY,15.5,74.9,Henry,[object GeneralizedGeometry],13151,Henry,609.4,6484,39335,8.7,334,11.5,441,20.2
[object GeneralizedGeometry],56265,HOUSTON,21,74.5,Houston,[object GeneralizedGeometry],13153,Houston,705.7,6672,27858,7,217,9.9,305,24.7
[object GeneralizedGeometry],38770,IRWIN,25.8,70.8,Irwin,[object GeneralizedGeometry],13155,Irwin,"1,069.50",10031,2679,6.5,20,11.7,36,41.8
[object GeneralizedGeometry],53393,JACKSON,19.4,73.9,Jackson,[object GeneralizedGeometry],13157,Jackson,875.5,7962,13884,7.2,115,10.1,161,18.6
[object GeneralizedGeometry],43768,JASPER,19,72.9,Jasper,[object GeneralizedGeometry],13159,Jasper,970.4,9164,3564,7.3,29,9,36,43.8
[object GeneralizedGeometry],35203,JEFF DAVIS,28.5,69.8,Jeff Davis,[object GeneralizedGeometry],13161,Jeff Davis,"1,061.30",10755,4629,7.7,37,15,72,28.7
[object GeneralizedGeometry],27612,JEFFERSON,24.4,69.7,Jefferson,[object GeneralizedGeometry],13163,Jefferson,"1,300.90",12358,5694,7.5,48,10.6,68,42.5
[object GeneralizedGeometry],27039,JENKINS,23.5,70.6,Jenkins,[object GeneralizedGeometry],13165,Jenkins,"1,239.20",10127,2524,7.6,25,7.6,25,""
[object GeneralizedGeometry],34521,JOHNSON,25.9,72.9,Johnson,[object GeneralizedGeometry],13167,Johnson,"1,042.50",9322,2593,4.2,13,14.2,44,20.2
[object GeneralizedGeometry],53085,JONES,18,74.7,Jones,[object GeneralizedGeometry],13169,Jones,938.6,9222,7463,6.8,55,13.1,105,31.5
[object GeneralizedGeometry],39224,LAMAR,18.5,72.6,Lamar,[object GeneralizedGeometry],13171,Lamar,"1,073.60",9416,4800,7,41,12.9,75,22.1
[object GeneralizedGeometry],41867,LANIER,24.3,70.6,Lanier,[object GeneralizedGeometry],13173,Lanier,775.3,7594,2267,5.8,14,11.2,27,""
[object GeneralizedGeometry],35912,LAURENS,25.9,72.3,Laurens,[object GeneralizedGeometry],13175,Laurens,"1,139.70",10783,14487,6.9,114,12.9,212,41.7
[object GeneralizedGeometry],58400,LEE,17.4,75.8,Lee,[object GeneralizedGeometry],13177,Lee,664.4,7727,6445,9.2,53,9.9,57,20.8
[object GeneralizedGeometry],44295,LIBERTY,17.4,73.8,Liberty,[object GeneralizedGeometry],13179,Liberty,463.5,7114,13570,11.6,105,11.5,104,15.9
[object GeneralizedGeometry],34347,LINCOLN,26.8,71.2,Lincoln,[object GeneralizedGeometry],13181,Lincoln,"1,194.90",10543,2287,7.2,20,9.7,27,38.5
[object GeneralizedGeometry],40044,LONG,21.8,74.1,Long,[object GeneralizedGeometry],13183,Long,604.5,7443,3452,8,23,13.5,39,29.3
[object GeneralizedGeometry],38348,LOWNDES,19.6,72.1,Lowndes,[object GeneralizedGeometry],13185,Lowndes,696.9,7605,24717,6.9,163,9.6,227,20.3
[object GeneralizedGeometry],44595,LUMPKIN,19.2,75.3,Lumpkin,[object GeneralizedGeometry],13187,Lumpkin,761.2,7397,6436,9.8,68,14.6,102,15.3
[object GeneralizedGeometry],38855,MCDUFFIE,21.9,70.3,McDuffie,[object GeneralizedGeometry],13189,McDuffie,"1,007.70",10147,6203,7.6,50,9.8,64,47.8
[object GeneralizedGeometry],39506,MCINTOSH,21.1,74.1,McIntosh,[object GeneralizedGeometry],13191,McIntosh,799.7,8628,3365,8.3,28,8.9,30,30.9
[object GeneralizedGeometry],30906,MACON,23.4,72.6,Macon,[object GeneralizedGeometry],13193,Macon,"1,047.40",10763,4361,6,27,7.4,33,39.8
[object GeneralizedGeometry],41404,MADISON,20.5,72.4,Madison,[object GeneralizedGeometry],13195,Madison,"1,026.20",9321,7392,7.7,66,10.6,91,21.5
[object GeneralizedGeometry],33875,MARION,18.7,72.8,Marion,[object GeneralizedGeometry],13197,Marion,881.3,8604,2127,8.3,19,9.6,22,""
[object GeneralizedGeometry],37660,MERIWETHER,25,70,Meriwether,[object GeneralizedGeometry],13199,Meriwether,"1,158.70",11052,6616,7.4,55,10.6,79,37.4
[object GeneralizedGeometry],32432,MILLER,32.3,72.9,Miller,[object GeneralizedGeometry],13201,Miller,"1,407.80",12550,2056,7.9,20,10.2,26,44.3
[object GeneralizedGeometry],32838,MITCHELL,18.1,71.1,Mitchell,[object GeneralizedGeometry],13205,Mitchell,977.7,8703,5709,5,34,8.4,57,38.8
[object GeneralizedGeometry],47323,MONROE,19.3,74,Monroe,[object GeneralizedGeometry],13207,Monroe,948.3,8710,6565,9.6,73,6.4,49,37.4
[object GeneralizedGeometry],33569,MONTGOMERY,21.7,71.6,Montgomery,[object GeneralizedGeometry],13209,Montgomery,926,10144,2599,8,20,10.8,27,""
