weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,FIPS,County,"Total births, 2010-2012","Birth rate, per 1,000 women age 10-55, 2010-2012","BIRTH RATE, 2010-2012","Teen births, age 15-19, 2010-2012","Birth rate, per 1,000 women age 15-19, 2010-2012","Low birth weight (<2,500 grams) births, 2010-2012","% all births that are low birth weight, 2010-2012","Premature births (<37 weeks), 2010-2012"
[object GeneralizedGeometry],35912,LAURENS,25.9,72.3,Laurens,[object GeneralizedGeometry],13175,Laurens,2032,45.7,45.7,291,59.4,217,10.7,235
[object GeneralizedGeometry],58400,LEE,17.4,75.8,Lee,[object GeneralizedGeometry],13177,Lee,1083,38.2,38.2,88,27.9,87,8,120
[object GeneralizedGeometry],44295,LIBERTY,17.4,73.8,Liberty,[object GeneralizedGeometry],13179,Liberty,4405,67.7,67.7,394,60.8,400,9.1,555
[object GeneralizedGeometry],34347,LINCOLN,26.8,71.2,Lincoln,[object GeneralizedGeometry],13181,Lincoln,201,30.2,30.2,26,37.4,29,14.4,26
[object GeneralizedGeometry],40044,LONG,21.8,74.1,Long,[object GeneralizedGeometry],13183,Long,614,40.3,40.3,69,41,55,9,57
[object GeneralizedGeometry],38348,LOWNDES,19.6,72.1,Lowndes,[object GeneralizedGeometry],13185,Lowndes,5110,44.8,44.8,567,36.1,566,11.1,663
[object GeneralizedGeometry],44595,LUMPKIN,19.2,75.3,Lumpkin,[object GeneralizedGeometry],13187,Lumpkin,1009,35.2,35.2,82,20.5,80,7.9,103
[object GeneralizedGeometry],38855,MCDUFFIE,21.9,70.3,McDuffie,[object GeneralizedGeometry],13189,McDuffie,910,44.8,38.3,126,57.7,105,11.5,111
[object GeneralizedGeometry],39506,MCINTOSH,21.1,74.1,McIntosh,[object GeneralizedGeometry],13191,McIntosh,377,31.3,37,68,51,39,10.3,35
[object GeneralizedGeometry],30906,MACON,23.4,72.6,Macon,[object GeneralizedGeometry],13193,Macon,440,37.5,44.8,73,53.3,47,10.7,52
[object GeneralizedGeometry],41404,MADISON,20.5,72.4,Madison,[object GeneralizedGeometry],13195,Madison,993,38.3,31.3,133,46.6,89,9,128
[object GeneralizedGeometry],33875,MARION,18.7,72.8,Marion,[object GeneralizedGeometry],13197,Marion,292,37,37.5,53,61.4,22,7.5,41
[object GeneralizedGeometry],37660,MERIWETHER,25,70,Meriwether,[object GeneralizedGeometry],13199,Meriwether,766,40.2,40.2,102,52.6,73,9.5,81
[object GeneralizedGeometry],32432,MILLER,32.3,72.9,Miller,[object GeneralizedGeometry],13201,Miller,233,45.7,45.7,39,69.1,29,12.4,32
[object GeneralizedGeometry],32838,MITCHELL,18.1,71.1,Mitchell,[object GeneralizedGeometry],13205,Mitchell,898,46.1,46.1,119,58.6,100,11.1,113
[object GeneralizedGeometry],47323,MONROE,19.3,74,Monroe,[object GeneralizedGeometry],13207,Monroe,854,35.9,35.9,81,33.8,82,9.6,105
[object GeneralizedGeometry],33569,MONTGOMERY,21.7,71.6,Montgomery,[object GeneralizedGeometry],13209,Montgomery,328,41.8,41.8,46,46.2,43,13.1,55
[object GeneralizedGeometry],44908,MORGAN,20.1,74.8,Morgan,[object GeneralizedGeometry],13211,Morgan,566,35.2,35.2,60,33.5,64,11.3,59
[object GeneralizedGeometry],36928,MURRAY,21.9,72.2,Murray,[object GeneralizedGeometry],13213,Murray,1467,38.9,38.9,232,57.6,128,8.7,178
[object GeneralizedGeometry],41443,MUSCOGEE,19,71.6,Muscogee,[object GeneralizedGeometry],13215,Muscogee,9566,50.7,50.7,1159,56.5,1059,11.1,1313
