weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,2010 Population,2010 White Population,% 2010 White Population,2010 Black Population,% 2010 Black Population,2010 Asian Population,% 2010 Asian Population,2010 Hispanic Population,% 2010 Hispanic Population,2010 Other Population
[object GeneralizedGeometry],56658,PIKE,19.7,72.6,Pike,[object GeneralizedGeometry],17869,15506,86.8,1825,10.2,55,0.3,193,1.1,290
[object GeneralizedGeometry],38861,POLK,20.9,71.2,Polk,[object GeneralizedGeometry],41475,30492,73.5,5150,12.4,270,0.7,4885,11.8,678
[object GeneralizedGeometry],34659,PULASKI,23.5,72.2,Pulaski,[object GeneralizedGeometry],12010,7494,62.4,3808,31.7,103,0.9,465,3.9,140
[object GeneralizedGeometry],40115,PUTNAM,22.3,72.9,Putnam,[object GeneralizedGeometry],21218,14024,66.1,5497,25.9,107,0.5,1347,6.3,243
[object GeneralizedGeometry],32750,QUITMAN,12.3,70,Quitman,[object GeneralizedGeometry],2513,1265,50.3,1198,47.7,2,0.1,34,1.4,14
[object GeneralizedGeometry],32995,RABUN,21.2,74.9,Rabun,[object GeneralizedGeometry],16276,14468,88.9,144,0.9,114,0.7,1301,8,249
[object GeneralizedGeometry],32688,RANDOLPH,22,71.9,Randolph,[object GeneralizedGeometry],7719,2781,36,4747,61.5,22,0.3,119,1.5,50
[object GeneralizedGeometry],38952,RICHMOND,20.9,70.3,Richmond,[object GeneralizedGeometry],200549,76236,38,107365,53.5,3278,1.6,8207,4.1,5463
[object GeneralizedGeometry],54704,ROCKDALE,20.6,75.6,Rockdale,[object GeneralizedGeometry],85215,34826,40.9,38996,45.8,1498,1.8,8063,9.5,1832
[object GeneralizedGeometry],40612,SCHLEY,17.9,72.5,Schley,[object GeneralizedGeometry],5010,3612,72.1,1167,23.3,36,0.7,161,3.2,34
[object GeneralizedGeometry],34634,SCREVEN,22,70.6,Screven,[object GeneralizedGeometry],14593,7898,54.1,6283,43.1,56,0.4,180,1.2,176
[object GeneralizedGeometry],28909,SEMINOLE,36.4,72.9,Seminole,[object GeneralizedGeometry],8729,5516,63.2,2887,33.1,33,0.4,204,2.3,89
[object GeneralizedGeometry],40655,SPALDING,21.4,71.2,Spalding,[object GeneralizedGeometry],64073,38986,60.8,20937,32.7,567,0.9,2451,3.8,1132
[object GeneralizedGeometry],37535,STEPHENS,23.9,72.7,Stephens,[object GeneralizedGeometry],26175,22006,84.1,2821,10.8,175,0.7,633,2.4,540
[object GeneralizedGeometry],28222,STEWART,27.5,70,Stewart,[object GeneralizedGeometry],6058,1655,27.3,2833,46.8,44,0.7,1454,24,72
[object GeneralizedGeometry],33528,SUMTER,21.6,72.5,Sumter,[object GeneralizedGeometry],32819,13413,40.9,16894,51.5,418,1.3,1717,5.2,377
[object GeneralizedGeometry],26750,TALBOT,22.4,70,Talbot,[object GeneralizedGeometry],6865,2639,38.4,4039,58.8,9,0.1,91,1.3,87
[object GeneralizedGeometry],24390,TALIAFERRO,27,71.2,Taliaferro,[object GeneralizedGeometry],1717,625,36.4,1024,59.6,8,0.5,35,2,25
[object GeneralizedGeometry],36520,TATTNALL,21.4,71.6,Tattnall,[object GeneralizedGeometry],25520,15196,59.5,7424,29.1,99,0.4,2502,9.8,299
[object GeneralizedGeometry],28402,TAYLOR,22.8,72.9,Taylor,[object GeneralizedGeometry],8906,5123,57.5,3485,39.1,57,0.6,164,1.8,77
