weave_GAcounties,Median Household Income,Label,"% of all discharges for ""treatable"" illnesses, 2010-2012","Male life expectancy, 2010 (years)",County,weave_GAcounties,Total Population,Under 5 years,% Under 5 Years,5 to 14 years,% 5 to 14 years,15 to 19 years,% 15 to 19 years,20 to 29 years,% 20 to 29 years,30 to 44 years
[object GeneralizedGeometry],31757,TOOMBS,23.3,72.2,Toombs,[object GeneralizedGeometry],27223,2219,8.2,4141,15.2,1948,7.2,3296,12.1,5086
[object GeneralizedGeometry],35843,TOWNS,20.1,74.9,Towns,[object GeneralizedGeometry],10471,383,3.7,962,9.2,826,7.9,897,8.6,1413
[object GeneralizedGeometry],35960,TREUTLEN,25.7,71.6,Treutlen,[object GeneralizedGeometry],6885,496,7.2,974,14.1,445,6.5,915,13.3,1293
[object GeneralizedGeometry],40246,TROUP,20.9,72.7,Troup,[object GeneralizedGeometry],67044,4749,7.1,9907,14.8,5175,7.7,8502,12.7,12944
[object GeneralizedGeometry],27056,TURNER,25.2,70.8,Turner,[object GeneralizedGeometry],8930,597,6.7,1211,13.6,653,7.3,1098,12.3,1639
[object GeneralizedGeometry],30533,TWIGGS,22.4,71.5,Twiggs,[object GeneralizedGeometry],9023,522,5.8,967,10.7,619,6.9,963,10.7,1446
[object GeneralizedGeometry],42125,UNION,21.6,75.7,Union,[object GeneralizedGeometry],21356,927,4.3,2210,10.3,1095,5.1,1693,7.9,3094
[object GeneralizedGeometry],34905,UPSON,22.1,71.4,Upson,[object GeneralizedGeometry],27153,1691,6.2,3497,12.9,2001,7.4,3022,11.1,5063
[object GeneralizedGeometry],38504,WALKER,22.4,72.1,Walker,[object GeneralizedGeometry],68756,4202,6.1,9229,13.4,4501,6.5,7590,11,13805
[object GeneralizedGeometry],52062,WALTON,19.9,72.9,Walton,[object GeneralizedGeometry],83768,5804,6.9,12849,15.3,5972,7.1,9292,11.1,17720
[object GeneralizedGeometry],34700,WARE,23.7,71.2,Ware,[object GeneralizedGeometry],36312,2500,6.9,4594,12.7,2453,6.8,4900,13.5,6783
[object GeneralizedGeometry],32155,WARREN,24.3,71.6,Warren,[object GeneralizedGeometry],5834,403,6.9,718,12.3,402,6.9,605,10.4,944
[object GeneralizedGeometry],31441,WASHINGTON,21.9,71.3,Washington,[object GeneralizedGeometry],21187,1407,6.6,2662,12.6,1547,7.3,2676,12.6,4003
[object GeneralizedGeometry],36496,WAYNE,24.6,71.9,Wayne,[object GeneralizedGeometry],30099,2182,7.2,4057,13.5,1979,6.6,3755,12.5,6338
[object GeneralizedGeometry],29926,WEBSTER,20.4,70,Webster,[object GeneralizedGeometry],2799,164,5.9,427,15.3,180,6.4,283,10.1,515
[object GeneralizedGeometry],27601,WHEELER,28.3,71.6,Wheeler,[object GeneralizedGeometry],7421,409,5.5,801,10.8,367,4.9,1194,16.1,1738
[object GeneralizedGeometry],40720,WHITE,16.9,75,White,[object GeneralizedGeometry],27144,1589,5.9,3508,12.9,1838,6.8,2781,10.2,4850
[object GeneralizedGeometry],41832,WHITFIELD,19.4,74.1,Whitfield,[object GeneralizedGeometry],102599,8131,7.9,16407,16,7757,7.6,13509,13.2,21226
[object GeneralizedGeometry],31509,WILCOX,25.7,72.2,Wilcox,[object GeneralizedGeometry],9255,481,5.2,983,10.6,510,5.5,1370,14.8,2046
[object GeneralizedGeometry],28224,WILKES,26,71.2,Wilkes,[object GeneralizedGeometry],10593,632,6,1283,12.1,683,6.4,1115,10.5,1793
[object GeneralizedGeometry],40331,WILKINSON,21.5,72.9,Wilkinson,[object GeneralizedGeometry],9563,658,6.9,1272,13.3,613,6.4,1091,11.4,1599
[object GeneralizedGeometry],39205,WORTH,23.9,72.9,Worth,[object GeneralizedGeometry],21679,1434,6.6,2944,13.6,1589,7.3,2600,12,3787
